class
level
window
yes
no
smoking
eating
question
good job
list
next
phone
win
left
right
remember
come here
go away
understand 
tired
hungry
excited
scared
thirsty
confused
bored
scared
same
different
pencil
book
backpack
student
teacher
learn
teach
tree
again
numbers
colors
next
week
red
yellow
blue
brown
orange
black
white
pink
grey
silver
gold
practice
big class
visual
language
review
copy me
more
location
now
size
ready
versus
together
show me
paper
jacket
shirt
break
frame
have fun
relax
sweet
dog
cat
energt
animals
pets
like
soon
moon
people
things
deaf
hearing
hard-of-hearing
go
cleaning
who
what
when
where
why
which
how much
how many
how
have
don't have
none
like
don't like
want 
don't want
school
signlanguage
bathroom
learn
teach
study
read
write
draw
male
female
family
mother
father
grandmother
grandfather
son
daughter
brother
sister
uncle
aunt
cousin
nephew
niece
child
children
young
old
